,0
821,Berserk: Ougon Jidai-hen III - Kourin
822,Fullmetal Alchemist: The Sacred Star of Milos
823,InuYasha: Kanketsu-hen
824,Junjou Romantica 2
825,Carnival Phantasm
826,Noragami Aragoto OVA
827,Koyomimonogatari
828,Amagami SS+ Plus
829,Sekaiichi Hatsukoi
830,Aa! Megami-sama! (TV)
831,New Game!!
832,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru
833,Gunslinger Girl
834,Final Fantasy VII: Advent Children Complete
835,Imouto sae Ireba Ii.
836,Sayonara no Asa ni Yakusoku no Hana wo Kazarou
837,Kino no Tabi: The Beautiful World
838,Kono Bijutsubu ni wa Mondai ga Aru!
839,Seiken no Blacksmith
840,Trinity Blood
841,Berserk
842,Zombie-Loan
843,Dog Days
844,Tonikaku Kawaii
845,C³
846,Ishuzoku Reviewers
847,Chuunibyou demo Koi ga Shitai! Lite
848,Bungou Stray Dogs 3rd Season
849,Robotics;Notes
850,Busou Renkin
851,Haikyuu!!: To the Top 2nd Season
852,Arcana Famiglia
853,Haiyore! Nyaruko-san W
854,Fairy Tail OVA
855,Fate/Grand Order: First Order
856,Shugo Chara!
857,Mnemosyne: Mnemosyne no Musume-tachi
858,Love Stage!!
859,Handa-kun
860,Hibike! Euphonium 2
861,Aoharu x Kikanjuu
862,To LOVE-Ru Darkness 2nd
863,Vampire Hunter D (2000)
864,Kakumeiki Valvrave
865,Dorohedoro
866,Fuuka
867,Kantai Collection: KanColle
868,Zero kara Hajimeru Mahou no Sho
869,Uta no☆Prince-sama♪ Maji Love 1000%
870,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou"
871,Kami nomi zo Shiru Sekai: 4-nin to Idol
872,Ikkitousen
873,Ballroom e Youkoso
874,Yowamushi Pedal
875,Blood: The Last Vampire
876,Nodame Cantabile: Finale
877,Macross F
878,Ged Senki
879,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou
880,Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai
881,Kuusen Madoushi Kouhosei no Kyoukan
882,Seikoku no Dragonar
883,Rozen Maiden: Träumend
884,Terra Formars
885,Mashiro-iro Symphony: The Color of Lovers
886,.hack//Sign
887,Strike Witches
888,IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou
889,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen
890,Rokujouma no Shinryakusha!? (TV)
891,Gochuumon wa Usagi Desu ka?
892,Date A Live II: Kurumi Star Festival
893,Yumekui Merry
894,Nisekoi OVA
895,K-On!!: Keikaku!
896,Aki-Sora
897,Tiger & Bunny
898,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen
899,Non Non Biyori Repeat
900,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta
901,Just Because!
902,Banana Fish
903,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen
904,Shouwa Genroku Rakugo Shinjuu
905,xxxHOLiC Kei
906,Love Hina Again
907,Devil Survivor 2 The Animation
908,Koi wa Ameagari no You ni
909,Girls Bravo: First Season
910,Gintama Movie 1: Shinyaku Benizakura-hen
911,Final Fantasy: The Spirits Within
912,Bishoujo Senshi Sailor Moon R
913,Sora no Otoshimono: Project Pink
914,Tsumiki no Ie
915,Sennen Joyuu
916,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!
917,Colorful (Movie)
918,Hanbun no Tsuki ga Noboru Sora
919,B: The Beginning
920,Nurarihyon no Mago: Sennen Makyou
921,Digimon Adventure Movie
922,Basilisk: Kouga Ninpou Chou
923,Ao no Exorcist: Kuro no Iede
924,Love Lab
925,GJ-bu
926,"Tokyo Ghoul: ""Pinto"""
927,Zoku Sayonara Zetsubou Sensei
928,Dragon Ball Super Movie: Broly
929,Seirei no Moribito
930,Kimi ga Aruji de Shitsuji ga Ore de
931,No Game No Life Specials
932,Initial D Second Stage
933,Little Busters!: Refrain
934,Kyokou Suiri
935,Sora no Otoshimono: Tokeijikake no Angeloid
936,Digimon Frontier
937,Loveless
938,Kareshi Kanojo no Jijou
939,Slam Dunk
940,Charlotte: Tsuyoimono-tachi
941,Nanatsu no Taizai: Kamigami no Gekirin
942,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai
943,Gintama.
944,Corpse Party: Missing Footage
945,Fortune Arterial: Akai Yakusoku
946,Shoujo Shuumatsu Ryokou
947,Fullmetal Alchemist: Brotherhood Specials
948,Astarotte no Omocha!
949,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi
950,Fate/kaleid liner Prisma☆Illya 2wei!
951,Tsubasa Chronicle 2nd Season
952,Golden Kamuy
953,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai"
954,Hakuouki
955,Sengoku Basara
956,Kishuku Gakkou no Juliet
957,Jigoku Shoujo Futakomori
958,Ichigo 100%
959,Last Exile
960,Rail Wars!
961,Coquelicot-zaka kara
962,Sankarea OVA
963,Karneval (TV)
964,Mushishi Zoku Shou 2nd Season
965,Mobile Suit Gundam Wing
966,Nabari no Ou
967,Utawarerumono
968,Yu☆Gi☆Oh!: Duel Monsters GX
969,Glasslip
970,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!
971,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama
972,Eve no Jikan (Movie)
973,Araburu Kisetsu no Otome-domo yo.
974,Hachimitsu to Clover II
975,Danshi Koukousei no Nichijou Specials
976,Romeo x Juliet
977,Kanata no Astra
978,Tari Tari
979,Cardcaptor Sakura Movie 2: Fuuin Sareta Card
980,Gatchaman Crowds
981,Hajime no Ippo: Rising
982,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga."
983,Sousei no Onmyouji
984,Gugure! Kokkuri-san
985,Big Order (TV)
986,"Dragon Ball Z Movie 15: Fukkatsu no ""F"""
987,Nourin
988,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III
989,Kanojo ga Flag wo Oraretara
990,Sola
991,Akikan!
992,Freezing Vibration
993,Date A Live Movie: Mayuri Judgment
994,Gyakkyou Burai Kaiji: Hakairoku-hen
995,Mahou Sensei Negima!
996,Joker Game
997,Taboo Tattoo
998,Kaichou wa Maid-sama!: Omake dayo!
999,Dumbbell Nan Kilo Moteru?
1000,Mayoi Neko Overrun!
1001,Isekai no Seikishi Monogatari
1002,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu
1003,Fate/Prototype
1004,Aoi Bungaku Series
1005,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi
1006,Hunter x Hunter Movie 1: Phantom Rouge
1007,3D Kanojo: Real Girl
1008,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly
1009,Ranma ½
1010,Sewayaki Kitsune no Senko-san
1011,Prison School: Mad Wax
1012,Suzumiya Haruhi-chan no Yuuutsu
1013,Onegai☆Twins
1014,Hayate no Gotoku!!
1015,Hunter x Hunter: Greed Island
1016,Goshuushou-sama Ninomiya-kun
1017,Kaguya-hime no Monogatari
1018,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin
1019,Himouto! Umaru-chan R
1020,Pokemon Movie 08: Mew to Hadou no Yuusha Lucario
1021,Brave 10
1022,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow
1023,Punch Line
1024,Hal
1025,Shinrei Tantei Yakumo
1026,Jin-Rou
1027,Mai-HiME
1028,Gankutsuou
1029,Gleipnir
1030,Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios
1031,Kuroko no Basket Movie 4: Last Game
1032,Subete ga F ni Naru
1033,Dantalian no Shoka
1034,Gravitation
1035,Juubee Ninpuuchou
1036,"High School DxD New: Oppai, Tsutsumimasu!"
1037,Medaka Box Abnormal
1038,Un-Go
1039,Toradora!: SOS! Kuishinbou Banbanzai
1040,Jibaku Shounen Hanako-kun
1041,Bishoujo Senshi Sailor Moon S
1042,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu
1043,Cencoroll
1044,Trigun: Badlands Rumble
1045,One Piece Movie 1
1046,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu
1047,"Kore wa Zombie Desu ka? of the Dead: Hai, Minotake ni Attemasu"
1048,Gekkan Shoujo Nozaki-kun Specials
1049,Tenkuu no Escaflowne
1050,Irozuku Sekai no Ashita kara
1051,Accel World EX
1052,"Kuroshitsuji: Sono Shitsuji, Kougyou"
1053,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru
1054,Kyoukaisenjou no Horizon
1055,Yesterday wo Utatte
1056,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu
1057,Higurashi no Naku Koro ni Special: Nekogoroshi-hen
1058,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da
1059,Nakitai Watashi wa Neko wo Kaburu
1060,Boku no Hero Academia the Movie 2: Heroes:Rising
1061,Tokyo ESP
1062,Masou Gakuen HxH
1063,So Ra No Wo To
1064,Date A Live III
1065,Blood Lad: Wagahai wa Neko de wa Nai
1066,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys
1067,Nanbaka
1068,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA
1069,Genshiken 2
1070,Kodomo no Jikan (TV)
1071,Initial D Third Stage
1072,Kakushigoto (TV)
1073,Kimi to Boku.
1074,Hajime no Ippo: Champion Road
1075,Shingeki no Kyojin: Ano Hi Kara
1076,Soul Eater NOT!
1077,Tada-kun wa Koi wo Shinai
1078,Kobato.
1079,Toaru Majutsu no Index Movie: Endymion no Kiseki
1080,Mushishi: Hihamukage
1081,Bokutachi wa Benkyou ga Dekinai!
1082,Jinrui wa Suitai Shimashita
1083,Hunter x Hunter: Greed Island Final
1084,Mononoke
1085,Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen
1086,Kiniro Mosaic
1087,"Inari, Konkon, Koi Iroha."
1088,Knight's & Magic
1089,Cardcaptor Sakura Movie 1
1090,Nande Koko ni Sensei ga!?
1091,Selector Infected WIXOSS
1092,Rewrite
1093,Aoki Hagane no Arpeggio: Ars Nova
1094,SSSS.Gridman
1095,Sekaiichi Hatsukoi 2
1096,Suzuka
1097,Bakuten Shoot Beyblade
1098,Oshiete! Galko-chan
1099,Arslan Senki (TV): Fuujin Ranbu
1100,H2O: Footprints in the Sand
1101,Planetes
1102,Uzaki-chan wa Asobitai!
1103,Break Blade 1: Kakusei no Toki
1104,Hiyokoi
1105,Given
1106,Love Live! Sunshine!!
1107,Kuroshitsuji: Book of Murder
1108,Gungrave
1109,Hunter x Hunter: Original Video Animation
1110,Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen
1111,BNA
1112,Guilty Crown: Lost Christmas - An Episode of Port Town
1113,Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai
1114,Slayers
1115,Senjou no Valkyria
1116,Needless
1117,Shingeki! Kyojin Chuugakkou
1118,Enen no Shouboutai: Ni no Shou
1119,Nanatsu no Taizai OVA
1120,Bounen no Xamdou
1121,Kara no Kyoukai 8: Shuushou
1122,Fairy Tail: Final Series
1123,Final Fantasy VII: Last Order
1124,Mobile Suit Gundam SEED Destiny
1125,Mobile Suit Gundam: Iron-Blooded Orphans
1126,Tsuritama
1127,Naruto: Akaki Yotsuba no Clover wo Sagase
1128,Ushio to Tora (TV)
1129,Yagate Kimi ni Naru
1130,Cross Ange: Tenshi to Ryuu no Rondo
1131,Okusama ga Seitokaichou!+!
1132,High Score Girl
1133,Aku no Hana
1134,Kyoukai no Kanata: Shinonome
1135,Minami-ke Okawari
1136,Carole & Tuesday
1137,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki
1138,Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai
1139,Aria the Animation
1140,Junketsu no Maria
1141,Haikyuu!!: Riku vs. Kuu
1142,Inu to Hasami wa Tsukaiyou
1143,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks
1144,Pokemon Movie 06: Nanayo no Negaiboshi Jirachi
1145,Black Blood Brothers
1146,Tsubasa: Tokyo Revelations
1147,Koe de Oshigoto! The Animation
1148,InuYasha Movie 2: Kagami no Naka no Mugenjo
1149,Youjo Senki Movie
1150,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou
1151,Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito
1152,Isekai Quartet 2
1153,Saint Seiya
1154,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken
1155,Trinity Seven: Nanatsu no Taizai to Nana Madoushi
1156,Kaze ga Tsuyoku Fuiteiru
1157,Ai Yori Aoshi
1158,Karakai Jouzu no Takagi-san 2
1159,Seitokai Yakuindomo OVA
1160,Strawberry Panic
1161,Fairy Tail x Rave
1162,Seikimatsu Occult Gakuin
1163,Boku no Hero Academia: Training of the Dead
1164,Brothers Conflict
1165,Happy Sugar Life
1166,Oneechan ga Kita
1167,Hametsu no Mars
1168,Shokugeki no Souma: Ni no Sara OVA
1169,Net-juu no Susume Special
1170,WWW.Working!!
1171,Love Hina Christmas Special: Silent Eve
1172,Diamond no Ace
1173,Great Pretender
1174,Hatsukoi Limited.
1175,Shokugeki no Souma: Gou no Sara
1176,Aishiteruze Baby★★
1177,Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai
1178,InuYasha Movie 1: Toki wo Koeru Omoi
1179,Ousama Game The Animation
1180,Shigatsu wa Kimi no Uso: Moments
1181,Mairimashita! Iruma-kun
1182,Re:␣Hamatora
1183,Isekai Shokudou
1184,Druaga no Tou: The Aegis of Uruk
1185,Doukyuusei (Movie)
1186,SKET Dance
1187,Shakugan no Shana S
1188,Nijiiro Days
1189,Maburaho
1190,Nichijou: Nichijou no 0-wa
1191,Mahou Shoujo Lyrical Nanoha
1192,Samurai 7
1193,Ao Haru Ride OVA
1194,Love Live! The School Idol Movie
1195,Kuroko no Basket: Tip Off
1196,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen
1197,Itsuka Tenma no Kuro Usagi
1198,Id:Invaded
1199,Hakushaku to Yousei
1200,Sankarea: Wagahai mo... Zombie de Aru...
1201,Occultic;Nine
1202,Eizouken ni wa Te wo Dasu na!
1203,Promare
1204,Fullmetal Alchemist: Premium Collection
1205,Working!!!: Lord of the Takanashi
1206,Tennis no Ouji-sama
1207,Uchuu Patrol Luluco
1208,Initial D Fourth Stage
1209,Pale Cocoon
1210,Space☆Dandy 2nd Season
1211,Baby Steps
1212,Kore ga Watashi no Goshujinsama
1213,Joukamachi no Dandelion
1214,The iDOLM@STER
1215,Hajime no Ippo: Mashiba vs. Kimura
1216,Otome Youkai Zakuro
1217,Fate/kaleid liner Prisma☆Illya 2wei Herz!
1218,One Piece Movie 2: Nejimaki-jima no Daibouken
1219,Break Blade 2: Ketsubetsu no Michi
1220,Yowamushi Pedal: Grande Road
1221,Zetman
1222,Kakumeiki Valvrave 2nd Season
1223,Pokemon Diamond & Pearl
1224,Natsume Yuujinchou Go
1225,Kimi no Iru Machi
1226,Kiniro no Corda: Primo Passo
1227,Poputepipikku
1228,Shingeki no Bahamut: Virgin Soul
1229,Assassins Pride
1230,Prince of Stride: Alternative
1231,Inu x Boku SS Special
1232,Shikabane Hime: Aka
1233,Senyuu.
1234,KimiKiss Pure Rouge
1235,Kure-nai
1236,Omoide Poroporo
1237,Uchouten Kazoku
1238,Girls Bravo: Second Season
1239,Afro Samurai: Resurrection
1240,To LOVE-Ru Darkness OVA
1241,Kanojo to Kanojo no Neko: Everything Flows
1242,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen
1243,Chuunibyou demo Koi ga Shitai! Movie: Take On Me
1244,Yuru Yuri San☆Hai!
1245,Pokemon: Mewtwo! Ware wa Koko ni Ari
1246,Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!
1247,Usagi Drop Specials
1248,One Piece Movie 4: Dead End no Bouken
1249,InuYasha Movie 3: Tenka Hadou no Ken
1250,Asura Cryin'
1251,Shiki Specials
1252,D.Gray-man Hallow
1253,Seihou Bukyou Outlaw Star
1254,Aggressive Retsuko (ONA)
1255,Hunter x Hunter Movie 2: The Last Mission
1256,Choujigen Game Neptune The Animation
1257,Kujira no Kora wa Sajou ni Utau
1258,Sidonia no Kishi: Daikyuu Wakusei Seneki
1259,Appleseed (Movie)
1260,School Rumble: Ichi Gakki Hoshuu
1261,Majo no Tabitabi
1262,Yuragi-sou no Yuuna-san
1263,Servamp
1264,Akudama Drive
1265,Digimon Adventure tri. 1: Saikai
1266,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?
1267,Code Geass: Fukkatsu no Lelouch
1268,Inferno Cop
1269,Sekai Seifuku: Bouryaku no Zvezda
1270,Tales of the Abyss
1271,Yu☆Gi☆Oh!: Hikari no Pyramid
1272,Tasogare Otome x Amnesia: Taima Otome
1273,Aki-Sora: Yume no Naka
1274,Midara na Ao-chan wa Benkyou ga Dekinai
1275,Shuumatsu no Izetta
1276,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima
1277,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!
1278,Gintama.: Porori-hen
1279,Princess Principal
1280,Flip Flappers
1281,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!
1282,The Animatrix
1283,Bishoujo Senshi Sailor Moon SuperS
1284,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo
1285,Gakuen Babysitters
1286,Grancrest Senki
1287,Trinity Seven Movie 1: Eternity Library to Alchemic Girl
1288,Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai
1289,Osake wa Fuufu ni Natte kara
1290,Deca-Dence
1291,A-Channel
1292,Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou
1293,Tales of Zestiria the Cross 2nd Season
1294,Tejina-senpai
1295,Mitsudomoe
1296,Mahou Shoujo Ikusei Keikaku
1297,Isuca
1298,Boku no Hero Academia: Sukue! Kyuujo Kunren!
1299,InuYasha Movie 4: Guren no Houraijima
1300,Juuou Mujin no Fafnir
1301,Lupin III: Cagliostro no Shiro
1302,Shingeki no Kyojin: Lost Girls
1303,Steins;Gate: Soumei Eichi no Cognitive Computing
1304,Noblesse: Awakening
1305,Tonari no Kaibutsu-kun: Tonari no Gokudou-kun
1306,Denki-gai no Honya-san
1307,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?"
1308,Michiko to Hatchin
1309,Eyeshield 21
1310,Break Blade 3: Kyoujin no Ato
1311,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars
1312,Dog Days'
1313,Genshiken OVA
1314,Coppelion
1315,Air Movie
1316,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke
1317,Rozen Maiden: Ouvertüre
1318,Hikaru no Go
1319,School Rumble San Gakki
1320,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day
1321,xxxHOLiC Movie: Manatsu no Yoru no Yume
1322,Top wo Nerae! Gunbuster
1323,Minami-ke Okaeri
1324,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara
1325,Shakugan no Shana Movie
1326,Saiki Kusuo no Ψ-nan: Kanketsu-hen
1327,Kimi ni Todoke 2nd Season: Kataomoi
1328,Seiren
1329,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku
1330,Level E
1331,Berserk 2nd Season
1332,Nogizaka Haruka no Himitsu: Purezza
1333,One Piece Film: Gold
1334,Erementar Gerad
1335,Persona 3 the Movie 1: Spring of Birth
1336,Isekai Cheat Magician
1337,Nagasarete Airantou
1338,Vandread
1339,RDG: Red Data Girl
1340,ACCA: 13-ku Kansatsu-ka
1341,Hitoribocchi no Marumaru Seikatsu
1342,Bamboo Blade
1343,Sword Art Online II: Debriefing
1344,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen
1345,Sakigake!! Cromartie Koukou
1346,K-On!: Ura-On!
1347,Hanebado!
1348,Somali to Mori no Kamisama
1349,Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥
1350,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!
1351,Sabage-bu!
1352,Danchigai
1353,Made in Abyss Movie 3: Fukaki Tamashii no Reimei
1354,Kino no Tabi: The Beautiful World - The Animated Series
1355,Bishoujo Senshi Sailor Moon: Sailor Stars
1356,Koukaku Kidoutai: Stand Alone Complex - Solid State Society
1357,Break Blade 4: Sanka no Chi
1358,Seikon no Qwaser II
1359,Kurokami The Animation
1360,Ao no Kanata no Four Rhythm
1361,"Ore, Twintail ni Narimasu."
1362,Golden Kamuy 2nd Season
1363,Himegoto
1364,Kara no Kyoukai: Mirai Fukuin
1365,Dogs: Bullets & Carnage
1366,Princess Tutu
1367,Kuroshitsuji II Specials
1368,Tokyo Mew Mew
1369,Giniro no Kami no Agito
1370,Kokkoku
1371,Denpa Onna to Seishun Otoko: Mayonaka no Taiyou
1372,GetBackers
1373,School Days: Valentine Days
1374,Casshern Sins
1375,Gintama.: Shirogane no Tamashii-hen
1376,Shinreigari
1377,Shinryaku!? Ika Musume
1378,Fate/Grand Order: Zettai Majuu Sensen Babylonia
1379,Kekkaishi (TV)
1380,Zoku Owarimonogatari
1381,Qualidea Code
1382,Bokura no
1383,One Piece Movie 5: Norowareta Seiken
1384,Tegamibachi
1385,Digimon Adventure: Bokura no War Game!
1386,Heppoko Jikken Animation Excel♥Saga
1387,Star Driver: Kagayaki no Takuto
1388,Onegai☆Teacher: Himitsu na Futari
1389,Vampire Hunter D
1390,Dareka no Manazashi
1391,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna
1392,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1393,Break Blade 5: Shisen no Hate
1394,Fractale
1395,Fushigi Yuugi
1396,Strike Witches 2
1397,Mahou Shoujo Lyrical Nanoha A's
1398,Kyousou Giga (TV)
1399,Umi ga Kikoeru
1400,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru"
1401,Ryuuou no Oshigoto!
1402,"Doukyonin wa Hiza, Tokidoki, Atama no Ue."
1403,Pokemon Movie 09: Pokemon Ranger to Umi no Ouji Manaphy
1404,Aiura
1405,"Maou-sama, Retry!"
1406,Fate/Extra: Last Encore
1407,Mushishi Zoku Shou: Odoro no Michi
1408,Shugo Chara!! Doki
1409,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu
1410,Chobits: Chibits
1411,Gochuumon wa Usagi Desu ka??
1412,Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life
1413,Triage X
1414,Gakuen Alice
1415,Metropolis
1416,Saki
1417,Bungou Stray Dogs: Dead Apple
1418,Sirius
1419,Natsume Yuujinchou Roku
1420,Nerawareta Gakuen
1421,Texhnolyze
1422,Pokemon Movie 11: Giratina to Sora no Hanataba Sheimi
1423,RahXephon
1424,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!
1425,Burn the Witch
1426,Yuuki Yuuna wa Yuusha de Aru
1427,xxxHOLiC Shunmuki
1428,Amagami SS: Tachibana Miya-hen - Imouto
1429,Cross Game
1430,Haikyuu!!: Lev Genzan!
1431,Boku no Hero Academia 2nd Season: Hero Note
1432,Rakuen Tsuihou
1433,Break Blade 6: Doukoku no Toride
1434,Walkure Romanze
1435,Steamboy
1436,Maken-Ki! Two
1437,Heisei Tanuki Gassen Ponpoko
1438,Fate/kaleid liner Prisma☆Illya 3rei!!
1439,Kimi to Boku. 2
1440,Saishuu Heiki Kanojo
1441,Ikkitousen: Dragon Destiny
1442,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA"
1443,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?
1444,Higurashi no Naku Koro ni Kira
1445,Wolf's Rain OVA
1446,Jigoku Shoujo Mitsuganae
1447,Witch Hunter Robin
1448,High School DxD BorN: Yomigaeranai Fushichou
1449,Blame! Movie
1450,Orenchi no Furo Jijou
1451,Daitoshokan no Hitsujikai
1452,Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai
1453,Mahouka Koukou no Rettousei: Raihousha-hen
1454,Interstella5555: The 5tory of The 5ecret 5tar 5ystem
1455,Dead Leaves
1456,Shoujo Kakumei Utena
1457,Kämpfer für die Liebe
1458,Dansai Bunri no Crime Edge
1459,Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland
1460,Denpa Kyoushi (TV)
1461,Seto no Hanayome OVA
1462,Ueki no Housoku
1463,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya
1464,Heroic Age
1465,Shigofumi
1466,Photokano
1467,Heavy Object
1468,One Piece Film: Strong World Episode 0
1469,Hourou Musuko
1470,Fugou Keiji: Balance:Unlimited
1471,World Trigger
1472,Major S1
1473,Air in Summer
1474,Mahou Shoujo Site
1475,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi
1476,Inazuma Eleven
1477,Zan Sayonara Zetsubou Sensei
1478,Druaga no Tou: The Sword of Uruk
1479,R.O.D: Read or Die
1480,"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai."
1481,Itsudatte Bokura no Koi wa 10 cm Datta.
1482,Blade & Soul
1483,Shokugeki no Souma OVA
1484,Munou na Nana
1485,Witchblade
1486,Ranpo Kitan: Game of Laplace
1487,Goku Sayonara Zetsubou Sensei
1488,Kono Sekai no Katasumi ni
1489,Rikei ga Koi ni Ochita no de Shoumei shitemita.
1490,Dennou Coil
1491,Tales of Zestiria the Cross: Saiyaku no Jidai
1492,Divine Gate
1493,Kami nomi zo Shiru Sekai: Flag 0
1494,Ookamikakushi
1495,Baki
1496,Hataage! Kemono Michi
1497,Hetalia World Series
1498,Dragon Ball Kai (2014)
1499,Senryuu Shoujo
1500,Peach Girl
1501,Fairy Tail Movie 2: Dragon Cry
1502,Scrapped Princess
1503,Tenshi no Tamago
1504,Toaru Hikuushi e no Koiuta
1505,Kono Oto Tomare!
1506,R-15
1507,Cross Road
1508,Dragon Ball: Episode of Bardock
1509,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi
1510,DRAMAtical Murder
1511,Juuni Kokuki
1512,Kamigami no Asobi
1513,Nagato Yuki-chan no Shoushitsu
1514,Ushio to Tora (TV) 2nd Season
1515,Uta no☆Prince-sama♪ Maji Love 2000%
1516,One Piece Movie 7: Karakuri-jou no Mecha Kyohei
1517,"""Bungaku Shoujo"" Movie"
1518,Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou
1519,Sekirei: Hajimete no Otsukai
1520,Ibara no Ou
1521,Tsugumomo
1522,"Hachi-nan tte, Sore wa Nai deshou!"
1523,Aa! Megami-sama!: Sorezore no Tsubasa
1524,Shikabane Hime: Kuro
1525,Amaenaide yo!!
1526,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen
1527,Ansatsu Kyoushitsu: Deai no Jikan
1528,Ichigo Mashimaro
1529,Nekojiru-sou
1530,Toaru Majutsu no Index III
1531,Ro-Kyu-Bu!
1532,Kill Me Baby
1533,Black★Rock Shooter
1534,Strike the Blood II
1535,Shikioriori
1536,Ao no Exorcist: Ura Ex
1537,Dagashi Kashi 2
1538,"Ima, Soko ni Iru Boku"
